PubChem_CID,Yeast_Inhibition_Percent,Cell_Viability_Percent,NanoLuc_Signal_Percent_Control
17520,101.5,3.3,93.6
27144,100.0,31.7,106.3
27297,101.8,4.7,110.4
66123,79.5,67.9,95.9
76937,22.1,59.9,99.4
99741,49.2,40.8,108.2
121637,100.9,3.0,96.3
243059,98.9,46.1,108.1
282938,101.4,24.9,107.3
292929,100.6,5.9,103.2
302279,101.5,3.1,101.0
310131,59.8,67.0,98.8
652808,28.0,113.1,114.7
673711,94.3,86.3,106.0
688709,100.0,91.6,102.1
697528,71.6,96.1,106.9
700009,82.2,96.3,97.0
700148,59.4,84.1,109.2
700976,78.1,97.5,109.7
701070,1.7,92.9,99.2
707936,101.2,3.5,98.3
709153,101.9,3.3,102.9
717711,28.9,90.0,95.8
723732,27.8,79.8,106.9
731806,64.0,91.1,114.6
733834,89.7,96.8,108.3
749608,75.5,96.0,110.2
763894,23.2,98.0,64.4
766532,96.0,56.4,99.8
767639,74.0,96.2,105.2
768672,37.4,109.0,108.1
773093,73.1,62.5,109.7
780598,81.0,97.5,104.0
790960,81.4,90.6,106.2
803194,98.4,16.5,113.7
820752,101.8,115.4,107.1
852322,65.7,77.3,105.0
874714,87.6,75.9,107.7
889748,67.9,26.7,111.9
899259,45.3,84.5,108.1
944383,53.4,92.9,108.2
955598,98.2,34.2,105.0
957599,59.9,10.0,105.8
962333,53.4,73.9,39.6
973573,75.7,108.1,107.6
983861,55.6,101.6,55.6
1092459,100.0,89.4,103.2
1186249,44.6,75.3,100.0
1190482,2.5,90.9,16.0
1204290,71.4,92.9,66.5
1263311,-2.6,86.6,83.6
1307471,59.9,98.7,51.2
1391595,65.6,93.6,97.8
1475928,77.9,58.1,108.7
1505880,77.5,87.7,105.3
1528700,-8.8,93.1,46.5
1570496,47.1,84.5,108.8
1589778,72.5,86.0,109.5
1589789,79.6,74.0,108.8
1636480,67.7,86.8,104.2
1653621,77.4,75.1,100.0
1653635,51.7,102.9,108.2
1713451,41.1,106.4,109.1
1992009,96.6,2.1,107.9
2008712,68.9,97.9,109.3
2049334,53.3,88.3,99.0
2049855,100.6,38.9,108.3
2129690,80.1,104.3,109.8
2133779,98.3,3.5,50.0
2139195,99.1,6.3,106.3
2200363,64.6,71.8,110.2
2238990,57.0,79.6,104.8
2238992,73.6,70.0,105.6
2238994,84.9,75.7,104.0
2239015,45.4,75.4,99.8
2354424,88.9,81.4,100.5
2497352,92.5,96.2,98.1
2769740,101.5,2.7,105.7
2771030,99.1,94.3,106.0
2793380,78.0,5.7,105.1
2831154,48.2,24.3,107.9
2834581,101.2,4.3,95.3
2896856,43.9,5.4,101.4
2919713,67.2,94.3,98.6
2936975,49.3,93.7,111.8
2943193,57.4,90.5,99.5
2951953,52.3,94.9,104.1
2954695,101.7,99.4,109.2
2974037,90.7,102.2,112.5
2981975,70.4,88.7,109.3
2992099,59.0,99.2,104.8
3090522,87.7,90.6,110.0
3163780,-1.3,59.5,105.8
3242906,100.6,103.5,106.6
3287596,100.2,45.9,107.1
3355288,9.4,104.5,94.8
3377203,66.6,86.3,106.0
3397555,101.3,17.7,102.9
3516311,20.1,72.7,108.4
3521356,52.3,102.1,108.6
3624343,45.7,23.4,98.6
3629287,97.9,19.4,100.6
3797566,91.9,98.5,107.6
4081132,101.5,84.9,104.1
4086498,20.2,106.8,108.0
4102712,46.8,43.9,107.6
4111118,100.7,7.1,106.0
4162926,101.5,20.8,106.1
4169124,-0.4,82.8,98.3
4199189,101.2,31.1,58.8
4345313,101.2,28.8,106.0
4360162,72.3,41.9,106.0
4413055,9.5,49.5,4.6
4458495,87.8,52.5,89.1
4471873,82.2,78.8,99.5
4684724,50.4,34.9,100.8
4690650,25.9,66.8,101.1
4714160,14.9,90.5,94.9
4736829,62.6,96.3,107.6
4737365,99.2,25.2,96.2
4754109,6.6,95.9,48.9
4893324,-3.0,84.7,96.5
4913014,99.6,68.7,108.9
5351098,98.9,2.9,84.8
5639066,-15.7,105.1,93.4
5769808,70.2,14.4,88.1
5769972,79.1,97.3,106.1
5991625,65.3,72.5,92.4
6104220,51.7,50.8,105.0
6263817,49.0,84.3,110.3
7086348,31.0,91.3,106.7
7119035,38.8,89.2,107.6
7120750,72.7,79.8,107.6
7167022,52.4,83.5,107.3
7178481,15.8,88.3,109.9
7185492,99.0,40.0,110.7
7185494,101.7,45.7,107.5
7202929,16.5,66.1,95.8
7294823,31.5,104.9,96.9
7456205,101.6,4.1,92.6
7471335,101.6,4.1,104.7
7503016,20.4,97.2,107.8
8720355,45.8,71.9,110.2
8839503,37.3,103.5,104.9
16010290,-0.7,103.5,73.5
16032794,5.2,115.2,95.5
16187117,83.7,118.0,110.5
16433415,82.9,79.7,102.6
16456321,84.7,12.1,107.8
16456368,101.6,2.8,107.0
16456942,57.7,69.7,109.4
16801811,24.0,86.9,106.5
16804490,17.9,94.5,107.4
16805904,-24.2,89.3,42.9
16823609,2.4,99.9,106.9
16824016,20.9,94.9,106.5
16876071,58.1,86.9,107.2
16883840,3.5,62.6,107.7
16934153,-7.4,76.4,58.2
